Subject_ID,n_files,km_found,missing_km,is_complete
P01,10,"1,2,3,4,5,6,7,8,9,10",,True
P02,10,"1,2,3,4,5,6,7,8,9,10",,True
P04,10,"1,2,3,4,5,6,7,8,9,10",,True
P07,10,"1,2,3,4,5,6,7,8,9,10",,True
P08,10,"1,2,3,4,5,6,7,8,9,10",,True
P09,10,"1,2,3,4,5,6,7,8,9,10",,True
P11,10,"1,2,3,4,5,6,7,8,9,10",,True
P12,10,"1,2,3,4,5,6,7,8,9,10",,True
P13,10,"1,2,3,4,5,6,7,8,9,10",,True
P14,9,"1,2,3,4,5,6,7,8,9",10,False
P15,10,"1,2,3,4,5,6,7,8,9,10",,True
P17,10,"1,2,3,4,5,6,7,8,9,10",,True
P18Estrogen,10,"1,2,3,4,5,6,7,8,9,10",,True
P18Menstruation,10,"1,2,3,4,5,6,7,8,9,10",,True
P20,10,"1,2,3,4,5,6,7,8,9,10",,True
P21,10,"1,2,3,4,5,6,7,8,9,10",,True
P22,8,"1,2,3,4,5,6,7,8","9,10",False
P23,10,"1,2,3,4,5,6,7,8,9,10",,True
P24,10,"1,2,3,4,5,6,7,8,9,10",,True
P27,10,"1,2,3,4,5,6,7,8,9,10",,True
P28,10,"1,2,3,4,5,6,7,8,9,10",,True
P29,10,"1,2,3,4,5,6,7,8,9,10",,True
P30,10,"1,2,3,4,5,6,7,8,9,10",,True
P32,10,"1,2,3,4,5,6,7,8,9,10",,True
P33,10,"1,2,3,4,5,6,7,8,9,10",,True
P34,10,"1,2,3,4,5,6,7,8,9,10",,True
P34_ohneFatigue,10,"1,2,3,4,5,6,7,8,9,10",,True
P35,10,"1,2,3,4,5,6,7,8,9,10",,True
P36,10,"1,2,3,4,5,6,7,8,9,10",,True
P37Estrogen,9,"1,2,3,4,5,6,7,8,9",10,False
P37Menstruation,10,"1,2,3,4,5,6,7,8,9,10",,True
P38Estrogen,10,"1,2,3,4,5,6,7,8,9,10",,True
P38Menstruation,10,"1,2,3,4,5,6,7,8,9,10",,True
P39Estrogen,10,"1,2,3,4,5,6,7,8,9,10",,True
P39Menstruation,10,"1,2,3,4,5,6,7,8,9,10",,True
P40,10,"1,2,3,4,5,6,7,8,9,10",,True
P41Estrogen,10,"1,2,3,4,5,6,7,8,9,10",,True
P41Menstruation,10,"1,2,3,4,5,6,7,8,9,10",,True
P42Estrogen,10,"1,2,3,4,5,6,7,8,9,10",,True
P42Menstruationbiskm5,5,"1,2,3,4,5","6,7,8,9,10",False
P42Menstruationkm5bis10,5,"6,7,8,9,10","1,2,3,4,5",False
P44,10,"1,2,3,4,5,6,7,8,9,10",,True
P45,10,"1,2,3,4,5,6,7,8,9,10",,True
P46,10,"1,2,3,4,5,6,7,8,9,10",,True
P47,10,"1,2,3,4,5,6,7,8,9,10",,True
P48,10,"1,2,3,4,5,6,7,8,9,10",,True
P49,10,"1,2,3,4,5,6,7,8,9,10",,True
P50Estrogen,10,"1,2,3,4,5,6,7,8,9,10",,True
P50Menstruation,10,"1,2,3,4,5,6,7,8,9,10",,True
P51Estrogen,10,"1,2,3,4,5,6,7,8,9,10",,True
P51Menstruation,10,"1,2,3,4,5,6,7,8,9,10",,True
P53,10,"1,2,3,4,5,6,7,8,9,10",,True
P54,4,"1,2,3,4","5,6,7,8,9,10",False
P55Menstruation,10,"1,2,3,4,5,6,7,8,9,10",,True
P56Estrogen,10,"1,2,3,4,5,6,7,8,9,10",,True
P56Menstruation,9,"1,2,3,4,5,6,7,8,9",10,False
P57,10,"1,2,3,4,5,6,7,8,9,10",,True
P59Estrogen,10,"1,2,3,4,5,6,7,8,9,10",,True
P59Menstruation,10,"1,2,3,4,5,6,7,8,9,10",,True
P60Estrogen,10,"1,2,3,4,5,6,7,8,9,10",,True
P60Menstruation,10,"1,2,3,4,5,6,7,8,9,10",,True
P61,9,"1,2,3,4,5,6,7,8,9",10,False
P62,10,"1,2,3,4,5,6,7,8,9,10",,True
P63,10,"1,2,3,4,5,6,7,8,9,10",,True
P64,8,"1,2,3,4,5,6,7,8","9,10",False
P66,10,"1,2,3,4,5,6,7,8,9,10",,True
P68Estrogen,10,"1,2,3,4,5,6,7,8,9,10",,True
P68Menstruation,10,"1,2,3,4,5,6,7,8,9,10",,True
P69Estrogen,10,"1,2,3,4,5,6,7,8,9,10",,True
P69Menstruation,10,"1,2,3,4,5,6,7,8,9,10",,True
P70Estrogen,10,"1,2,3,4,5,6,7,8,9,10",,True
P70Menstruation,10,"1,2,3,4,5,6,7,8,9,10",,True
P71,10,"1,2,3,4,5,6,7,8,9,10",,True
P72Estrogen,10,"1,2,3,4,5,6,7,8,9,10",,True
P76Estrogen,8,"1,2,3,4,5,6,7,8","9,10",False
P76EstrogenschnelleGeschw,8,"1,2,3,4,5,6,7,8","9,10",False
P76Menstruation,10,"1,2,3,4,5,6,7,8,9,10",,True
P78,9,"1,2,3,4,5,6,7,8,9",10,False
P80Estrogen,9,"1,2,3,4,5,6,7,8,9",10,False
P81,10,"1,2,3,4,5,6,7,8,9,10",,True
