Subject	km	DF	SF_norm
P61	1.0	0.618369	0.957665
P61	1.5	0.618369	0.957665
P61	2.0	0.618369	0.957665
P61	2.5	0.618369	0.957665
P61	3.0	0.618369	0.957665
P61	3.5	0.618369	0.957665
P61	4.0	0.618369	0.957665
P61	4.5	0.618369	0.957665
P61	5.0	0.618369	0.957665
P61	5.5	0.618369	0.957665
P61	6.0	0.618369	0.957665
P61	6.5	0.618369	0.957665
P61	7.0	0.618369	0.957665
P61	7.5	0.618369	0.957665
P61	8.0	0.618369	0.957665
P61	8.5	0.618369	0.957665
P61	9.0	0.618369	0.957665
P61	9.5	0.618369	0.957665
P61	10.0	0.618369	0.957665
P62	1.0	0.520000	0.980000
P62	1.5	0.531250	0.980000
P62	2.0	0.542500	0.980000
P62	2.5	0.553750	0.980000
P62	3.0	0.565000	0.980000
P62	3.5	0.576250	0.980000
P62	4.0	0.587500	0.980000
P62	4.5	0.598750	0.980000
P62	5.0	0.610000	0.980000
P62	5.5	0.621250	0.980000
P62	6.0	0.632500	0.980000
P62	6.5	0.643750	0.980000
P62	7.0	0.655000	0.980000
P62	7.5	0.666250	0.980000
P62	8.0	0.677500	0.980000
P62	8.5	0.688750	0.980000
P62	9.0	0.700000	0.980000
P62	9.5	0.711250	0.980000
P62	10.0	0.722500	0.980000
P63	1.0	0.430000	1.050000
P63	1.5	0.430000	1.038235
P63	2.0	0.430000	1.026471
P63	2.5	0.430000	1.014706
P63	3.0	0.430000	1.002941
P63	3.5	0.430000	0.991176
P63	4.0	0.430000	0.979412
P63	4.5	0.430000	0.967647
P63	5.0	0.430000	0.955882
P63	5.5	0.430000	0.944118
P63	6.0	0.430000	0.932353
P63	6.5	0.430000	0.920588
P63	7.0	0.430000	0.908824
P63	7.5	0.430000	0.897059
P63	8.0	0.430000	0.885294
P63	8.5	0.430000	0.873529
P63	9.0	0.430000	0.861765
P63	9.5	0.430000	0.850000
P63	10.0	0.430000	0.838235

