method,linkage,k,min_cluster_size,min_samples,n_clusters_found,n_noise,n_points_scored,noise_fraction,silhouette,davies_bouldin,calinski_harabasz,inertia,rank_sil,rank_ch,rank_db,rank_mean,is_best
hierarchical,ward,2.0,,,2,0,60,0.0,0.305790657293597,0.984218195267844,24.702454571846452,,6.0,7.0,6.0,6.333333333333333,False
hierarchical,ward,3.0,,,3,0,60,0.0,0.30062986065956054,1.118265053304656,30.599099632187365,,7.0,6.0,7.0,6.666666666666667,False
hierarchical,ward,4.0,,,4,0,60,0.0,0.33673217959029017,0.9686649341530579,31.861371684504107,,5.0,5.0,5.0,5.0,False
hierarchical,ward,5.0,,,5,0,60,0.0,0.36972678130532455,0.8546646101606964,38.17890059339434,,3.0,4.0,4.0,3.6666666666666665,False
hierarchical,ward,6.0,,,6,0,60,0.0,0.35237971180165817,0.7657687336666896,38.952263225496715,,4.0,3.0,1.0,2.6666666666666665,False
hierarchical,ward,7.0,,,7,0,60,0.0,0.37379098970161795,0.785361070433549,39.65406199013011,,2.0,2.0,3.0,2.3333333333333335,False
hierarchical,ward,8.0,,,8,0,60,0.0,0.3841584970217006,0.7668210487290332,41.08948871547901,,1.0,1.0,2.0,1.3333333333333333,True
hierarchical,complete,2.0,,,2,0,60,0.0,0.38479875628440063,0.8269712430607845,13.210723776138828,,1.0,7.0,4.0,4.0,False
hierarchical,complete,3.0,,,3,0,60,0.0,0.2559335938612998,1.0619176660917153,20.275677171608013,,7.0,6.0,7.0,6.666666666666667,False
hierarchical,complete,4.0,,,4,0,60,0.0,0.33668896787947383,0.9161461055243292,32.7116147691165,,4.0,2.0,6.0,4.0,False
hierarchical,complete,5.0,,,5,0,60,0.0,0.33833139371352294,0.8608932603911483,31.470735797103796,,3.0,3.0,5.0,3.6666666666666665,False
hierarchical,complete,6.0,,,6,0,60,0.0,0.3262661906007674,0.7597243044917253,27.94234304450085,,5.0,5.0,2.0,4.0,False
hierarchical,complete,7.0,,,7,0,60,0.0,0.3069971967354581,0.7683219048508168,29.862417280571986,,6.0,4.0,3.0,4.333333333333333,False
hierarchical,complete,8.0,,,8,0,60,0.0,0.3732065800342676,0.7314677351524198,39.29055476907257,,2.0,1.0,1.0,1.3333333333333333,True
hierarchical,average,2.0,,,2,0,60,0.0,0.38479875628440063,0.8269712430607845,13.210723776138828,,1.0,7.0,6.0,4.666666666666667,False
hierarchical,average,3.0,,,3,0,60,0.0,0.3554051064560679,0.9485745883101377,28.529443517842456,,3.0,3.0,7.0,4.333333333333333,False
hierarchical,average,4.0,,,4,0,60,0.0,0.32143837204889,0.7761185675485476,20.67775111704509,,6.0,6.0,5.0,5.666666666666667,False
hierarchical,average,5.0,,,5,0,60,0.0,0.3325930366118899,0.6663746078737983,24.9980836944545,,5.0,5.0,3.0,4.333333333333333,False
hierarchical,average,6.0,,,6,0,60,0.0,0.3557981595785359,0.6668410852092365,32.12641921839199,,2.0,1.0,4.0,2.3333333333333335,True
hierarchical,average,7.0,,,7,0,60,0.0,0.34884245561812394,0.6216293496470041,29.369356766451233,,4.0,2.0,2.0,2.6666666666666665,False
hierarchical,average,8.0,,,8,0,60,0.0,0.3160784233315674,0.5658551286652103,27.023695249927865,,7.0,4.0,1.0,4.0,False
hierarchical,single,2.0,,,2,0,60,0.0,0.4345379519202756,0.37949084867486854,5.2214387709100585,,1.0,4.0,1.0,2.0,True
hierarchical,single,3.0,,,3,0,60,0.0,0.3249900933861323,0.40295157516450275,4.9083202143106694,,2.0,6.0,2.0,3.3333333333333335,False
hierarchical,single,4.0,,,4,0,60,0.0,0.17155401587327895,0.4166998998690212,4.7147143018098765,,3.0,7.0,4.0,4.666666666666667,False
hierarchical,single,5.0,,,5,0,60,0.0,0.11910637050900044,0.4080703521406857,5.002432052318369,,4.0,5.0,3.0,4.0,False
