Subject,DF_start,DF_end,Delta_DF,Slope_DF,Slope_DF_early,Slope_DF_late,SF_start,SF_end,Delta_SF,Slope_SF,Slope_SF_early,Slope_SF_late
P01,0.73469,0.704064,-0.03062599999999993,-0.002759715151515125,-0.0050022999999999795,-0.00280609999999996,0.903364,0.835834,-0.06752999999999998,-0.006024812121212093,-0.010141099999999955,-0.005678099999999954
P02,0.681833,0.723071,0.041238,0.003928909090909107,0.007502000000000046,0.0007290000000000301,0.861429,0.886014,0.024584999999999968,0.002380593939393987,0.003812099999999958,0.0009037999999999889
P04,0.702078,0.714933,0.01285500000000006,0.0015283515151515478,0.005283100000000009,-0.0011796999999999476,0.920965,0.89671,-0.024255000000000027,-0.002235169696969611,-0.0019566000000000726,-0.0007427999999999813
P07,0.817218,0.810282,-0.006936000000000053,-0.0010123272727272535,0.00032040000000003327,-0.0025866000000000144,0.893753,0.883991,-0.009762000000000048,-0.0017123999999999783,-0.0006129999999999352,0.0008257000000000198
P08,0.745151,0.736366,-0.008785000000000043,-0.000296981818181778,0.0006120000000000397,-0.002063099999999958,0.856642,0.840839,-0.01580300000000001,-0.0016496787878787298,-0.0018108999999999855,-0.0015711999999999198
P09,0.680758,0.66776,-0.012997999999999954,-0.0018083515151514882,0.004979900000000083,-0.003385299999999961,0.864234,0.882353,0.018119000000000107,0.0005391939393939973,0.0026724000000000274,0.002456200000000027
P11,0.73246,0.737879,0.005418999999999952,0.0005199212121212258,0.0010939999999999793,-0.0010039000000000332,0.945485,0.922379,-0.02310600000000007,-0.0030753696969696796,-0.004245900000000006,-0.002217399999999888
P12,0.686792,0.68903,0.0022380000000000733,0.0006049151515151739,0.0015043999999999505,0.00031640000000002287,0.881203,0.862551,-0.018652000000000002,-0.003296781818181778,0.0015371000000000176,-0.0045638
P13,0.616999,0.627446,0.010446999999999984,0.0009291939393939815,0.0015715000000000672,0.0015381000000000628,0.862933,0.864505,0.0015720000000000178,-0.00023526060606056582,-8.949999999995284e-05,0.001207100000000007
P15,0.743288,0.74565,0.0023620000000000863,0.0013374121212122011,0.0020818999999999794,-0.0023329999999999324,0.87704,0.849086,-0.027954000000000034,-0.0007512484848484516,-0.004776599999999987,-0.004445199999999954
P17,0.795157,0.780236,-0.014920999999999962,-0.0015142303030302533,-0.0031617999999999633,-0.002832599999999967,0.881289,0.883511,0.0022220000000000573,-0.0016519393939393235,0.004493400000000022,-0.004589399999999911
P18,0.725868,0.750163,0.024295000000000067,0.0031231575757576405,0.002497099999999985,0.0017132000000000677,0.856934,0.875405,0.018471000000000015,0.0023459818181818743,0.003303000000000079,0.0007556000000000319
P20,0.595267,0.634015,0.038748000000000005,0.00451794545454549,0.00425409999999999,0.004000700000000023,0.915611,0.948934,0.0333230000000001,0.003127957575757632,0.001231700000000019,0.004963200000000105
P21,0.756142,0.762363,0.006221000000000032,0.0005648787878788369,0.0019017000000000016,-0.0006346999999999437,0.866721,0.88086,0.014139000000000013,0.0018332060606061416,-0.0015376999999999789,0.0029994000000001094
P23,0.849888,0.841259,-0.008628999999999998,-0.00036263030303025065,-0.00188599999999997,-0.00022019999999997733,0.802787,0.792727,-0.010060000000000069,-0.0005535636363635744,-0.00013109999999997172,-0.0018103000000000006
P24,0.685541,0.694566,0.00902500000000006,0.0005218242424242883,0.0011900000000000688,0.0007378000000000076,0.84878,0.842835,-0.005944999999999978,-0.0005517393939393407,-0.002212200000000038,-0.00012939999999993424
P27,0.687662,0.690311,0.0026490000000000125,0.00014576969696975946,0.0029080000000000165,-0.0024173999999999377,0.914729,0.90451,-0.010218999999999978,-0.0013738545454544796,-1.5499999999959885e-05,-0.0008012999999998458
P28,0.801317,0.813607,0.012290000000000023,0.0012808909090909655,0.0028527999999999427,-0.0010126999999999801,0.874502,0.831949,-0.04255299999999995,-0.005534012121212086,-0.007509899999999923,-0.002850699999999921
P29,0.683335,0.687355,0.0040200000000000236,8.249696969699308e-05,0.002205399999999958,-0.0012062999999999495,0.898685,0.868847,-0.02983799999999992,-0.0026486363636363404,-0.0005405000000000475,-0.001493499999999894
P30,0.832981,0.823864,-0.00911699999999993,-0.0004762848484848188,0.0006688999999999764,-0.0022254999999999927,0.861139,0.845798,-0.015340999999999938,-0.0015372545454544462,-0.001838700000000027,-0.00047939999999996004
P32,0.693158,0.691681,-0.0014770000000000616,-0.0007471090909090566,-0.001538199999999994,-0.0018516999999999703,0.837014,0.832298,-0.0047160000000000535,-0.0004570303030302855,-0.0033069999999999753,0.001380500000000018
P33,0.689258,0.691642,0.0023839999999999417,-0.00015646666666665319,0.00047049999999993603,0.0004974000000000415,0.879073,0.848603,-0.030469999999999997,-0.0032230363636363314,-0.0025203000000000343,-0.0023109999999999854
P34,0.70038,0.713371,0.012990999999999975,0.0006982121212121731,0.0018045999999999956,0.00012240000000001867,0.930832,0.942484,0.011651999999999996,0.0011063878787879163,-0.0025107999999999867,0.005075000000000084
P35,0.596092,0.602003,0.005911,0.00045884242424243973,0.0015186000000000268,-0.001779399999999959,0.902135,0.915086,0.012950999999999935,0.0016043515151515871,0.0017589999999999754,-0.0006750999999999212
P36,0.686155,0.698039,0.011884000000000006,0.0010132000000000409,0.002883499999999994,-0.0026980999999999355,0.876562,0.853304,-0.023258,-0.002356599999999962,-0.0036711999999999353,-0.0024479999999999454
P38,0.757384,0.747078,-0.010305999999999926,-0.0005402060606060454,-0.0012302000000000784,-0.001663499999999979,0.807755,0.799687,-0.008067999999999964,-0.0007499515151514406,-0.0039292999999999915,0.0012327000000000898
P39,0.780427,0.753294,-0.027132999999999963,-0.002425345454545407,-0.0012038999999999026,-0.004912199999999874,0.835573,0.82092,-0.014653000000000027,-0.001656866666666643,-0.001467299999999993,-0.0028825999999999483
P40,0.613585,0.620318,0.006732999999999989,0.0005049090909091263,0.0014414999999999372,0.000348500000000071,0.86973,0.878402,0.008672000000000013,0.0009551757575758072,0.0002158000000000548,0.001845900000000043
P41,0.759086,0.751798,-0.007288000000000072,-0.0007223999999999696,0.0006016000000000724,-0.0029168999999999224,0.882223,0.855049,-0.02717400000000003,-0.002320212121212059,-0.00252179999999996,-0.0021466999999999793
P42,0.645849,0.647981,0.0021320000000000228,0.00020442424242426041,0.0002501999999999547,0.001065300000000063,0.841975,0.820995,-0.02098,-0.001961636363636295,-0.003643800000000008,-0.000378199999999953
P44,0.728254,0.710076,-0.018177999999999916,-0.0018640666666666402,-0.0008684000000000082,-0.0024718999999999063,0.856208,0.806519,-0.04968899999999998,-0.004725363636363577,-0.010246700000000039,-0.0006437999999999427
P45,0.610757,0.620271,0.009514000000000022,0.0006963454545454966,0.0022562000000000064,-0.0017316000000000067,0.890949,0.873459,-0.017490000000000006,-0.0011494666666666468,-0.00311880000000004,-0.002038799999999956
P46,0.615056,0.63094,0.015883999999999898,0.002361884848484864,0.0012076999999999964,0.0011301000000000618,0.835234,0.833645,-0.0015890000000000626,0.0013296181818182363,-0.0012823999999999718,0.0010105000000001033
P47,0.580669,0.568594,-0.012074999999999947,-0.001293296969696918,-0.002876399999999956,0.0007117000000000294,0.857858,0.842999,-0.014858999999999956,-0.0014674848484847829,-0.0025755000000000335,-0.0006799999999999428
P48,0.730634,0.727213,-0.0034210000000000074,0.0001803939393939855,0.0063477,-0.00478169999999991,0.869072,0.844397,-0.024675000000000002,-0.002427818181818101,-0.0014050999999999617,-0.0014683999999999691
