method	linkage	k	min_cluster_size	min_samples	n_clusters_found	n_noise	n_points_scored	noise_fraction	silhouette	davies_bouldin	calinski_harabasz	inertia	rank_sil	rank_ch	rank_db	rank_mean	is_best
hdbscan			2.0	1.0	7	6	14	0.3	0.38450379205282265	0.6015800557251163	12.828708316906033		1.0	1.0	1.0	1.0	True
hdbscan			2.0	2.0	0	20	0	1.0									False
hdbscan			2.0	3.0	0	20	0	1.0									False
hdbscan			2.0		0	20	0	1.0									False
hdbscan			3.0	1.0	0	20	0	1.0									False
hdbscan			3.0	2.0	0	20	0	1.0									False
hdbscan			3.0	3.0	0	20	0	1.0									False
hdbscan			3.0		0	20	0	1.0									False
hdbscan			4.0	1.0	0	20	0	1.0									False
hdbscan			4.0	2.0	0	20	0	1.0									False
hdbscan			4.0	3.0	0	20	0	1.0									False
hdbscan			4.0		0	20	0	1.0									False
hierarchical	average	2.0			2	0	20	0.0	0.27564673742541523	1.2486722383419808	6.044279259191433		1.0	4.0	5.0	3.3333333333333335	False
hierarchical	average	3.0			3	0	20	0.0	0.21629055962966834	0.9037519500551771	4.074319798300326		5.0	5.0	3.0	4.333333333333333	False
hierarchical	average	4.0			4	0	20	0.0	0.23847739734626477	0.9492587780087955	6.765885820669507		3.0	3.0	4.0	3.3333333333333335	False
hierarchical	average	5.0			5	0	20	0.0	0.23430789747361436	0.8849224867760741	6.988342029577243		4.0	2.0	2.0	2.6666666666666665	False
hierarchical	average	6.0			6	0	20	0.0	0.26039869084254647	0.8217422613994266	7.894538968222012		2.0	1.0	1.0	1.3333333333333333	True
hierarchical	complete	2.0			2	0	20	0.0	0.23321484935504566	1.5345692491388478	5.494092348745523		4.0	5.0	5.0	4.666666666666667	False
hierarchical	complete	3.0			3	0	20	0.0	0.2215570116479626	1.3581338212538157	6.700800437758296		5.0	4.0	4.0	4.333333333333333	False
hierarchical	complete	4.0			4	0	20	0.0	0.2625561105651092	1.010445302228622	7.7196253584649215		3.0	1.0	2.0	2.0	False
hierarchical	complete	5.0			5	0	20	0.0	0.2668808980663866	1.0497322655125447	7.6312897942696285		2.0	3.0	3.0	2.6666666666666665	False
hierarchical	complete	6.0			6	0	20	0.0	0.2834565830998313	0.9711082181470733	7.709541364700316		1.0	2.0	1.0	1.3333333333333333	True
hierarchical	single	2.0			2	0	20	0.0	0.2556103240092533	0.5513663718919187	2.7051569303587044		1.0	4.0	1.0	2.0	True
hierarchical	single	3.0			3	0	20	0.0	0.08250832775136899	0.6929164711568969	2.0685642815306045		4.0	5.0	2.0	3.6666666666666665	False
hierarchical	single	4.0			4	0	20	0.0	0.1575500922129322	0.7024441694366063	3.081503199698246		2.0	3.0	3.0	2.6666666666666665	False
hierarchical	single	5.0			5	0	20	0.0	0.14465571297288077	0.744933996289847	3.573161828530922		3.0	1.0	4.0	2.6666666666666665	False
hierarchical	single	6.0			6	0	20	0.0	0.028490283813676475	0.7749586949519843	3.097937867451743		5.0	2.0	5.0	4.0	False
hierarchical	ward	2.0			2	0	20	0.0	0.2229348599173741	1.374999837825797	6.806072968693244		5.0	5.0	5.0	5.0	False
hierarchical	ward	3.0			3	0	20	0.0	0.26292172227981625	1.166808624826533	8.055075125342546		2.0	1.0	4.0	2.3333333333333335	False
hierarchical	ward	4.0			4	0	20	0.0	0.2522929022600101	1.033642756623707	7.309275991262087		4.0	4.0	3.0	3.6666666666666665	False
hierarchical	ward	5.0			5	0	20	0.0	0.2777476680816047	0.9307890186573365	7.4623112651162025		1.0	3.0	2.0	2.0	True
hierarchical	ward	6.0			6	0	20	0.0	0.26039869084254647	0.8217422613994269	7.894538968222013		3.0	2.0	1.0	2.0	True
kmeans		2.0			2	0	20	0.0	0.2596228886941059	1.375213181130926	6.955422188585394	115.40578148653047	4.0	5.0	5.0	4.666666666666667	False
kmeans		3.0			3	0	20	0.0	0.2655945819876709	1.1501048566507324	8.457377973855577	80.20107837997189	3.0	1.0	4.0	2.6666666666666665	False
kmeans		4.0			4	0	20	0.0	0.25017930356993345	0.9905205598477342	8.221434631105602	62.954477389215484	5.0	4.0	3.0	4.0	False
kmeans		5.0			5	0	20	0.0	0.27025497998388126	0.9118331907846713	8.344874575991975	49.60779016187444	2.0	3.0	1.0	2.0	False
kmeans		6.0			6	0	20	0.0	0.30097637882059536	0.9146215497335585	8.425226763754546	39.910106889471486	1.0	2.0	2.0	1.6666666666666667	True
