Subject,km,DF,SF_norm
P01,1.0,0.73469,0.903364
P01,2.0,0.72501,0.884203
P01,3.0,0.728907,0.875739
P01,4.0,0.714019,0.866306
P01,5.0,0.715174,0.861607
P01,6.0,0.714377,0.858409
P01,7.0,0.716824,0.859639
P01,8.0,0.713309,0.853787
P01,9.0,0.709389,0.848008
P01,10.0,0.704064,0.835834
P02,1.0,0.681833,0.861429
P02,2.0,0.696531,0.876633
P02,3.0,0.705115,0.87584
P02,4.0,0.710085,0.879944
P02,5.0,0.712566,0.878834
P02,6.0,0.72479,0.88521
P02,7.0,0.710948,0.885424
P02,8.0,0.722375,0.882874
P02,9.0,0.721676,0.892854
P02,10.0,0.723071,0.886014
P04,1.0,0.702078,0.920965
P04,2.0,0.707908,0.908811
P04,3.0,0.70661,0.908148
P04,4.0,0.711273,0.908067
P04,5.0,0.726811,0.911554
P04,6.0,0.719884,0.898074
P04,7.0,0.719772,0.904202
P04,8.0,0.716236,0.896094
P04,9.0,0.717877,0.899502
P04,10.0,0.714933,0.89671
P07,1.0,0.817218,0.893753
P07,2.0,0.817734,0.89453
P07,3.0,0.818621,0.893654
P07,4.0,0.817534,0.89437
P07,5.0,0.81892,0.890768
P07,6.0,0.819388,0.883193
P07,7.0,0.815879,0.877832
P07,8.0,0.811911,0.880206
P07,9.0,0.808225,0.884493
P07,10.0,0.810282,0.883991
P08,1.0,0.745151,0.856642
P08,2.0,0.744509,0.853661
P08,3.0,0.737694,0.846845
P08,4.0,0.743413,0.850748
P08,5.0,0.748759,0.849044
P08,6.0,0.745119,0.84623
P08,7.0,0.744703,0.845134
P08,8.0,0.747764,0.843622
P08,9.0,0.741578,0.840204
P08,10.0,0.736366,0.840839
P09,1.0,0.680758,0.864234
P09,2.0,0.692436,0.871443
P09,3.0,0.692195,0.869016
P09,4.0,0.713609,0.881111
P09,5.0,0.695071,0.872762
P09,6.0,0.687281,0.87313
P09,7.0,0.683015,0.86652
P09,8.0,0.681755,0.861206
P09,9.0,0.688204,0.872636
P09,10.0,0.66776,0.882353
P11,1.0,0.73246,0.945485
P11,2.0,0.735065,0.94252
P11,3.0,0.742165,0.941991
P11,4.0,0.739847,0.932849
P11,5.0,0.735539,0.929091
P11,6.0,0.740987,0.929054
P11,7.0,0.742428,0.92667
P11,8.0,0.741974,0.920353
P11,9.0,0.738605,0.917846
P11,10.0,0.737879,0.922379
P12,1.0,0.686792,0.881203
P12,2.0,0.690372,0.887868
P12,3.0,0.693555,0.893997
